candidate_id,rank,score,reasoning
CAND_0075604,1,0.482037,"Candidate has 8 years experience but as a Software Engineer with no production ML/ranking experience, skills are mostly web dev and computer vision, and negative GitHub activity suggests low engagement."
CAND_0068966,2,0.458486,"Candidate has 8.7 years of experience but as a Software Engineer with no production ML or ranking system experience, and skills like accounting and Six Sigma are irrelevant; GitHub activity score of -1.0 suggests no public contributions, and low recruiter response rate indicates weak market interest."
CAND_0001144,3,0.457476,"Candidate has 9.4 years experience but title is Software Engineer, not AI/ML specialist; skills include NLP but lack production ML systems, vector databases, or ranking evaluation; behavioral signals show low recruiter response rate and negative GitHub activity, indicating poor fit for this senior AI role."
CAND_0073014,4,0.454539,"Candidate has 8.9 years experience but title is Software Engineer with no production ML or ranking system experience; skills lack core requirements like embeddings, vector databases, and evaluation frameworks; behavioral signals show low recruiter response rate and negative GitHub activity, indicating poor fit for this senior AI engineering role."
CAND_0079032,5,0.446279,"Candidate has 8.7 years experience but as a Software Engineer with skills in web development and sales, lacking production ML/ranking experience; low recruiter response rate and GitHub activity suggest weak engagement."
CAND_0049071,6,0.437947,"Candidate has 9.7 years experience but title is Software Engineer with no ML production experience; skills include computer vision and TTS but lack retrieval, ranking, or vector DBs; low GitHub activity and no evidence of product-company ML work."
CAND_0016699,7,0.437170,"Candidate has 9 years of experience but as a Frontend Engineer, lacking production ML/ranking system experience; skills include Python and vector search but no evidence of applied ML in product companies; high recruiter response rate but low GitHub activity suggests limited external validation."
CAND_0018959,8,0.432563,"Candidate has 9 years experience but title is Software Engineer with no ML production experience; skills are web dev focused with only LangChain as AI-related, and negative GitHub activity suggests low engagement."
CAND_0040601,9,0.430167,Candidate has cloud engineering background with some ML exposure but lacks production experience in ranking/retrieval systems and has low recruiter response rate and negative GitHub activity.
CAND_0000522,10,0.426849,"Candidate has 9 years experience but title is Software Engineer, lacks production ML and ranking system experience, has computer vision (not NLP/IR), and negative GitHub activity suggests low engagement."
CAND_0026929,11,0.426787,"Candidate has backend experience but lacks production ML/retrieval systems, has no ranking or evaluation background, and shows negative GitHub activity and low recruiter response rate."
CAND_0027128,12,0.423585,Candidate has 9 years experience but as a Software Engineer with broad but shallow skills; lacks production ML/ranking experience and relevant domain depth.
CAND_0002413,13,0.422466,Candidate has 8.6 years experience but title is Software Engineer with no ML specialization; skills include LLMs and reinforcement learning but lack production retrieval/ranking experience; behavioral signals are moderate but GitHub activity is low.
CAND_0074180,14,0.421359,"Candidate has 9.8 years of experience but lacks production ML/ranking experience, with skills focused on webpack, computer vision, and microservices rather than embeddings, retrieval, or LLMs, making them a poor fit for this senior AI engineer role."
